ESTACION;NOMBRE;ANO-MES;TIPO;OPERADA;Pmensual;Panual;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
00074018;CARTAGENA;1970-08;PV;SENARA;314;;29,5;6;2;0;0;7;0;4;0;16;16;4;9;3,5;17;0;0;16;0;0;0;0;0;0;17;1,5;66;6;80,5;9;4
00074018;CARTAGENA;1970-09;PV;SENARA;253,5;;5;17;12;44;20,5;0;0;11;4,5;4,5;0;-8;13;17;12;3;0;7,5;0;4;0;6;0;4,5;26,5;0;0;0,5;17;32;0
00074018;CARTAGENA;1970-10;PV;SENARA;255,5;;1;1,5;0;18;6;0;11;2,5;33,5;3,5;3,5;4,5;12;0;15,5;0;0;0;0;0;1;13,5;0;39,5;0;0,5;38;5,5;45;0;0
00074018;CARTAGENA;1970-11;PV;SENARA;205,5;;0;0;0;0,5;0;0;0;4;45;2;108;27;2,5;7,5;0,5;0;0;0;0;0,5;0;0;0;0;0;0;0;8;0;0;0
00074018;CARTAGENA;1970-12;PV;SENARA;4;1686,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1971-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1971-02;PV;SENARA;2;;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1971-03;PV;SENARA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
00074018;CARTAGENA;1971-04;PV;SENARA;40;;0;0;26,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;10,5;0;0;0;2,5;0;0
00074018;CARTAGENA;1971-05;PV;SENARA;295,5;;0;0;0;0;0;0;0;0;0;0;0;11,5;3;14;0;2,5;58,5;1,5;47;52,5;48;0;0;11,5;0;0;0;0;26;19,5;0
00074018;CARTAGENA;1971-06;PV;SENARA;201;;0;0;73;0;3,5;0;0;6;9;0;0,5;28;15;3;17,5;5;2,5;0;2;9;0;0;5,5;0;0;0;0;21;0;0,5;0
00074018;CARTAGENA;1971-07;PV;SENARA;54,5;;0;2,5;0;0;0;0;0;0;0;0;0;0;0;13;3;5,5;0;0;0;0;0;0;0;9,5;7;0;0;0;0;0;14
00074018;CARTAGENA;1971-08;PV;SENARA;345;;12;13,5;5,5;58;14;0;0;10,5;0;0;0;0;0;0;18;21,5;0,5;0;17,5;0;-8;29;0;6,5;0;1;69,5;-8;60;0;24
00074018;CARTAGENA;1971-09;PV;SENARA;568;;35;21,5;16;-8;8;5;3,5;1,5;61,5;37;0;0;6;1,5;9;0,5;12,5;-8;102;26;20;44;12;41,5;0;9;24,5;28,5;56,5;1,5;0
00074018;CARTAGENA;1971-10;PV;SENARA;469;;0;-8;58,5;57;-8;62,5;2,5;1,5;0;33,5;0;0;0;14;40,5;1;5;23;25,5;17,5;30;4,5;18,5;52;0;6;7,5;0;14;10,5;0
00074018;CARTAGENA;1971-11;PV;SENARA;74,5;;5;14,5;2;14,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;34,5;0;0;0;0;0;2;0;0;0;1;0;0,5;0
00074018;CARTAGENA;1971-12;PV;SENARA;0;2050,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1972-01;PV;SENARA;50,5;;0;0;0;4,5;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1972-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1972-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1972-04;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1972-05;PV;SENARA;347;;0;0;21;0;0;0;0;0;0;4;0;21;7;6;55,5;0;-8;26;7;8;29;0;46,5;26;0,5;72,5;10;0;15;0;0
00074018;CARTAGENA;1972-06;PV;SENARA;115,2;;0;0;0;0;3,8;19,5;7,5;4,5;17,5;42,5;3,9;1;0,5;0;0;4,5;4;0;0;1;0;0,5;0;3,5;0,5;0;0;0,5;0;0;0
00074018;CARTAGENA;1972-07;PV;SENARA;102,2;;0;0;0;0;0;0;0;0;8,5;0;1,5;0;0;1,5;0;0;0;0;8;70,5;0;0;0;3,5;3,2;5,5;0;0;0;0;0
00074018;CARTAGENA;1972-08;PV;SENARA;149,5;;0;0;0;0;0;0;0;0;0;17,5;0;0;0;5,5;0;0;0;0;13,5;18,5;0;2,5;13,5;10;8,5;-8;68;0;0;0;0
00074018;CARTAGENA;1972-09;PV;SENARA;212;;1;0;3;40,5;21;0;0;0;0;7,5;0;0;0;7;2;13,5;0;0;0;8,5;0;38;9,5;0;32,5;21,5;2;4,5;0;0;0
00074018;CARTAGENA;1972-10;PV;SENARA;180;;0;0;6;0;2;0,5;0;0;0;0;0;0;23;0;15,5;27;18,5;23;30;0;0;26;0;0;0;8,5;0;0;0;0;0
00074018;CARTAGENA;1972-11;PV;SENARA;104,5;;0;1;12;0;0;0;13;0;3;0,5;3;30,5;0;2,5;11,5;26;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0
00074018;CARTAGENA;1972-12;PV;SENARA;14;1274,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;1,5;12;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1973-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1973-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1973-03;PV;SENARA;14;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
00074018;CARTAGENA;1973-04;PV;SENARA;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;20;0;0;0;0
00074018;CARTAGENA;1973-05;PV;SENARA;249,3;;0;0;0;0;0;0;0;21;41,5;0,5;0;0;0;0;0;0;1,5;0;67,5;0;11,5;5,5;2,5;21;2,5;27,3;0;0,5;19,5;23,5;3,5
00074018;CARTAGENA;1973-06;PV;SENARA;298,7;;1;-8;40;0;16;4,2;0;0;0;0;3,5;8,5;12,5;3;0;-8;40,5;8,5;21,5;-8;-8;63,5;-8;63;11,5;11,5;22;0;6;2;0
00074018;CARTAGENA;1973-07;PV;SENARA;299,7;;0;34,5;0;0;1;0;0;0;0;0;0;14,5;0;0;0;0;2;1,5;20,2;-8;66;41,5;0;2,5;53,5;34,5;25;10;0;0;1
00074018;CARTAGENA;1973-08;PV;SENARA;542,5;;39,5;0;0;54;0;8,5;45;0;0;0;50,5;0;0;0;0;0;0;0;7,5;42;22;7,5;25;7;0;47,5;12,5;79;46;48,5;0,5
00074018;CARTAGENA;1973-09;PV;SENARA;415,8;;-8;75;27,2;0,5;0;6;0,2;-8;18,5;39,5;2,2;0,5;10;6;-8;38,5;42;23,5;46,2;2;6;0;0;4,5;8;0;13;18;-8;60,5;0
00074018;CARTAGENA;1973-10;PV;SENARA;669,2;;13,5;0;17;3,2;4,5;-8;122,5;152,5;33;0;-8;41;-8;53,5;7;13,5;4,5;0;6;-8;77,5;19;7,5;24;15;27,5;-8;64,5;0;0,5;2
00074018;CARTAGENA;1973-11;PV;SENARA;33,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0,5;0;2;0;0;0;2;12;0,5;1;3,5;10;0,5;0;0;0;0
